TITLE,COMPANY,LOCATION,Link
Data Scientist (KOREA),No Deviation Pte Ltd,충청북도 청주,https://kr.indeed.com/company/No-Deviation-Pte-Ltd/jobs/Data-Scientist-0d207415a075d21c?fccid=1685f7430879dfc6&vjs=3
[NICE평가정보] 2021년 상반기 수시,나이스평가정보,대한민국,https://kr.indeed.com/rc/clk?jk=56e128e4011f9d01&fccid=1eee1d17fecc4bbe&vjs=3
데이터 분석가/사이언티스트(신입/인턴 가능),쏘카,대한민국,https://kr.indeed.com/rc/clk?jk=55584c627df1acaa&fccid=ebcd554962f400ec&vjs=3
2021년 IITP 주관 글로벌핵심인재양성 지원사업,정보통신기획평가원,대전 유성구,https://kr.indeed.com/rc/clk?jk=efb69a29d8bd7514&fccid=0c77e931bbae40ba&vjs=3
"빅데이터, 인공지능(AI) 외 신입/경력 인턴",스칼라웍스,대한민국,https://kr.indeed.com/rc/clk?jk=dfb20fa220f3c478&fccid=d1224297334bfd66&vjs=3
지능형자동차부품진흥원 인력,지능형자동차부품진흥원,대구 달성군,https://kr.indeed.com/rc/clk?jk=fd0194167a01fed0&fccid=e754c4daa6aa41e0&vjs=3
"[대성] 개발자 채용 | 앱개발,Java,Python,objective",대성 관심기업,전주 팔복동,https://kr.indeed.com/rc/clk?jk=5d4ef5faadd96b30&fccid=4b92994439d7bc47&vjs=3
Field AI Engineer,Graphcore,서울,https://kr.indeed.com/rc/clk?jk=9e1861e691426a98&fccid=9e36b3674558427d&vjs=3
"Engr, Tech Supp 3",KLA-Tencor,대한민국,https://kr.indeed.com/rc/clk?jk=233bbfd9781e846d&fccid=c8fc142c28286059&vjs=3
"Engr, Apps Dev 2",KLA-Tencor,대한민국,https://kr.indeed.com/rc/clk?jk=ab38178e6071aa0f&fccid=c8fc142c28286059&vjs=3
글로벌 소셜카지노 서비스 해외사업 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/rc/clk?jk=57dead75c6dee2c1&fccid=a4f571f3a628be3e&vjs=3
2021 토스 전 계열사 대규모,비바리퍼블리카,서울 강남구,https://kr.indeed.com/rc/clk?jk=39e99c8ed1d40a8f&fccid=17dc934b27d58446&vjs=3
Software Engineer - AI,GE Appliances,경기도 성남,https://kr.indeed.com/rc/clk?jk=b6f60e1ac5501c9c&fccid=6a7f2fa034a3fd36&vjs=3
2021 Market Data Analyst - Seoul,Bloomberg,서울,https://kr.indeed.com/rc/clk?jk=e8a4630bec0783e8&fccid=f770da67b3b51c62&vjs=3
[타다]데이터 분석가/사이언티스트,쏘카,대한민국,https://kr.indeed.com/rc/clk?jk=3330430ae94277db&fccid=ebcd554962f400ec&vjs=3
위촉연구원 (에너지통계연구팀),에너지경제연구원,울산,https://kr.indeed.com/rc/clk?jk=58aeb0762366a605&fccid=e5e59ba991b74334&vjs=3
DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원,대구 현풍면,https://kr.indeed.com/rc/clk?jk=4cd34228af5013fd&fccid=a0e87e3780944019&vjs=3
데이터 사이언스(데이터 모델링 및 추천 모델링),NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=da5c549bf1a76ded&fccid=a72ebaf825acf7af&vjs=3
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/rc/clk?jk=52f8fb3f7e662c5d&fccid=b1f5de6cae96f6c2&vjs=3
각 부문별 수시,KIS채권평가,대한민국,https://kr.indeed.com/rc/clk?jk=330617e8381fbee6&fccid=c54b7952dd9d6d70&vjs=3
데이터 마케팅(분석/모델링) 전문가,LG전자,서울 영등포구,https://kr.indeed.com/rc/clk?jk=9edef5cb1029c4c1&fccid=9702ca14c9a11940&vjs=3
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/rc/clk?jk=ce6747e77c861c46&fccid=b95f9eb47968fa13&vjs=3
(광주취업맛집1위)2021년도 국비 기술교육생,대한상공회의소 광주인력개발원,광주 광산구,https://kr.indeed.com/rc/clk?jk=5c7ce2a8bacecf7d&fccid=4746daf5fe536ea2&vjs=3
Plat.B 추진단 AID팀 Machine Learning&AI 정규직,이투스교육,서울 강남구,https://kr.indeed.com/rc/clk?jk=f611a72cc9b1761e&fccid=b84d68241bed601b&vjs=3
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",한국정보기술단,과천 과천시,https://kr.indeed.com/rc/clk?jk=9fe4755841bec8ce&fccid=99925e8e7b9604cc&vjs=3
글로벌 소셜카지노 부문 사업PM,네오위즈,대한민국,https://kr.indeed.com/rc/clk?jk=4665562997b87ff0&fccid=a4f571f3a628be3e&vjs=3
2021년 상반기 Python 경력,매크로액트,성남 분당구,https://kr.indeed.com/rc/clk?jk=0592fae45af22542&fccid=6b97aba1037c0b00&vjs=3
카카오 데이터의 가치를 발굴할 데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=2b2dcd3ffe3d53df&fccid=32b9af632cf3b9f9&vjs=3
AI/Data Scientist 경력직,SK건설,대한민국,https://kr.indeed.com/rc/clk?jk=18dfa5323b2713fe&fccid=0d1a8193f5b440b8&vjs=3
Applied Data Scientist,dunnhumby,서울,https://kr.indeed.com/rc/clk?jk=f10a132f53b6307d&fccid=36801496409e6dc9&vjs=3
Developers,Coinplug,경기도 성남,https://kr.indeed.com/rc/clk?jk=9a9e91ae6092ed2d&fccid=8acd13d5bcba71c2&vjs=3
[전문연구요원] 상시 (전직),네이버랩스,경기도,https://kr.indeed.com/rc/clk?jk=14b591547a3b9df5&fccid=d30455f17633cf87&vjs=3
2021년 (신입) 전문연구요원 모집,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=9acc17c535b42959&fccid=a72ebaf825acf7af&vjs=3
Life Actuarial Analyst - Korea,Willis Towers Watson,서울,https://kr.indeed.com/rc/clk?jk=b9b5a48d2121caca&fccid=52f90de7b5346a08&vjs=3
[대구] 빅데이터 개발 연구원,드림아이디어소프트,대구 동구,https://kr.indeed.com/rc/clk?jk=623d7d0a12068235&fccid=b3a0ba7164b7ac7d&vjs=3
스테코 부문별 신입 및 경력사원,스테코,천안 서북구,https://kr.indeed.com/rc/clk?jk=df607996134e60ff&fccid=eaff5feec88e83e3&vjs=3
(주)신세계아이앤씨 경력사원 상시,신세계아이앤씨,서울 중구,https://kr.indeed.com/rc/clk?jk=b5b88516a299bbb2&fccid=7009e9adee12ff99&vjs=3
엔지니어,키사이트테크놀로지스,서울,https://kr.indeed.com/rc/clk?jk=f0ebe714bb940da2&fccid=c27b3fc1683b97af&vjs=3
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국,https://kr.indeed.com/rc/clk?jk=4adac8923476d038&fccid=bab92f71c1e85edd&vjs=3
2021년 한화시스템 방산부문 경력사원,한화시스템,성남 분당구,https://kr.indeed.com/rc/clk?jk=dd6837145722038a&fccid=46ba4635611e86ea&vjs=3
MBC 방송IT센터 소프트웨어 개발 담당,문화방송,서울 마포구,https://kr.indeed.com/rc/clk?jk=ae8d56c7b5aa16c7&fccid=3c09ef7790507811&vjs=3
[전문연구요원] 빅데이터 엔지니어(신입/경력),웹젠,성남 분당구,https://kr.indeed.com/rc/clk?jk=3259e28d21f56288&fccid=6e2a9dddd86c4648&vjs=3
[개발자] 꿈 찾아드립니다. 저희와 함께하세요.,ICON,서울,https://kr.indeed.com/rc/clk?jk=7e94b666d8fbe2d0&fccid=f820ccda05bb7535&vjs=3
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=eeb9fe1c361f0758&fccid=aba87288e4cc3687&vjs=3
신규서비스 프로덕션 - Python django 웹 개발자,후씨,서울 서초구,https://kr.indeed.com/rc/clk?jk=ed956a819995ea40&fccid=6f7ca8b748a731cf&vjs=3
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/rc/clk?jk=55a19c92c845685e&fccid=74d05cee5b52f133&vjs=3
지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=cd2ef993ee5c8d3f&fccid=617504e506359426&vjs=3
Machine Learning Researcher – On-device AI theory and algorithm,Qualcomm Korea YH,서울,https://kr.indeed.com/rc/clk?jk=c2f5f53dc48263eb&fccid=fc9fc27463afa4d7&vjs=3
AI 분야 경력,LG CNS,서울특별시,https://kr.indeed.com/rc/clk?jk=c8bf4fa58999927f&fccid=9635ff240e3de5f6&vjs=3
[고경력자의 경우 시간단축] 홈페이지 개발 및 관리 웹프로그래머,규,대한민국,https://kr.indeed.com/rc/clk?jk=44b27e9dde454c6a&fccid=dd616958bd9ddc12&vjs=3
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/rc/clk?jk=71c47ac87bb4087e&fccid=230e414668234579&vjs=3
NAVER IDC 서버 운영/관리(춘천),NIT Service,춘천 동면,https://kr.indeed.com/rc/clk?jk=de567c4b6b588c4c&fccid=f85375bceacb7147&vjs=3
"솔루션 개발자, 품질인력 채용",한화그룹,서울,https://kr.indeed.com/rc/clk?jk=ddd1f037549e47a2&fccid=bd0dc1817223394f&vjs=3
"Software Engineer, Machine Learning",Google,서울,https://kr.indeed.com/rc/clk?jk=4f319862856fe9c1&fccid=a5b4499d9e91a5c6&vjs=3
사물인터넷(IoT) 개발자 (하드웨어 및 소프트웨어),큐빅스,경기도 파주,https://kr.indeed.com/rc/clk?jk=a4ade495ab488c6f&fccid=b5f62c3a6cfa7f3e&vjs=3
[상시 ] Data Scientist (대리급/과-차장급/정규직),라이나생명보험,서울 종로구,https://kr.indeed.com/rc/clk?jk=e9ac1a8708b8e784&fccid=ecbbeac4938b074a&vjs=3
"Field Applications Engineer, Audio",Dolby,서울,https://kr.indeed.com/rc/clk?jk=7cb5c3076d1701db&fccid=5dd80d97ea739284&vjs=3
(주)아이옵스 소프트웨어 개발자 경력직,아이옵스,대전 유성구,https://kr.indeed.com/rc/clk?jk=299810388371b791&fccid=dbcbf1153e0db6f9&vjs=3
Perception Software Engineer - Autonomous Vehicles,NVIDIA,대한민국,https://kr.indeed.com/rc/clk?jk=94e6b51a16f4a0f6&fccid=c267f29f0f85e8b8&vjs=3
소형전지사업부/기술혁신센터,삼성SDI,충청남도 천안,https://kr.indeed.com/rc/clk?jk=089931931a0474d5&fccid=6c70210beddc1b13&vjs=3
"Design Consultant, Staff",Synopsys,대한민국,https://kr.indeed.com/rc/clk?jk=7e9a745cd8bdcbe3&fccid=6ce9eba87609c3e9&vjs=3
"[Search] 파파고 머신러닝(자연어처리, 컴퓨터비전) 엔지니어 신입/경력",네이버,서울,https://kr.indeed.com/rc/clk?jk=e9d6c53d8915adf6&fccid=412ff571bced2587&vjs=3
고등광기술연구소 전문연구요원,광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=7c19ff88836f8869&fccid=617504e506359426&vjs=3
보안,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=810816c790317a08&fccid=a72ebaf825acf7af&vjs=3
머신러닝/딥러닝 연구 개발,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=7e5d96b07d5edef0&fccid=a72ebaf825acf7af&vjs=3
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=78e99625e5de3c95&fccid=e34932b8232a173b&vjs=3
사내 및 서비스 보안 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/rc/clk?jk=cd40cf786e32f325&fccid=a4f571f3a628be3e&vjs=3
데이터 분야 경력,LG CNS,서울,https://kr.indeed.com/rc/clk?jk=010d38b18b07b6bb&fccid=9635ff240e3de5f6&vjs=3
"연구개발, it개발 신입/경력 정규직",포엔,대전 유성구,https://kr.indeed.com/rc/clk?jk=c3c9f36cd3a8c314&fccid=3f086c20476ed682&vjs=3
2021 Global Data Internship - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/rc/clk?jk=18f62dc644a89e0c&fccid=f770da67b3b51c62&vjs=3
Python Programmer,Mofac,서울 서초구,https://kr.indeed.com/rc/clk?jk=df21e3bb5d773616&fccid=6cddb172d498d15c&vjs=3
데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=092d062a6faa7139&fccid=32b9af632cf3b9f9&vjs=3
DGIST 제2차 계약직 연구원 채용공고,대구경북과학기술원,대구 현풍면,https://kr.indeed.com/rc/clk?jk=2cfd15907402c5cc&fccid=a0e87e3780944019&vjs=3
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=07375dc4e800dfa9&fccid=32b9af632cf3b9f9&vjs=3
지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=7609462290636e5d&fccid=617504e506359426&vjs=3
21년 전문연구요원 (AI엔지니어),Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=69ab0f58743cb713&fccid=aba87288e4cc3687&vjs=3
Cloud Support Engineer- Bigdata,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/rc/clk?jk=ad88a21945aedaf2&fccid=fe2d21eef233e94a&vjs=3
[진행중]우리은행 빅데이터사업부 전문직(데이터 분석가(ML/DL)) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/rc/clk?jk=0cfd614dbcdb6e6c&fccid=bb52ef09d63c98fb&vjs=3
블록체인 노드 DevOps(구축 및 운영) 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/rc/clk?jk=6b65e8aeb42661de&fccid=a4f571f3a628be3e&vjs=3
"Technical Operations Manager, Premium Support",Amazon Web Services Korea LLC,서울,https://kr.indeed.com/rc/clk?jk=af725f1c975c7581&fccid=fe2d21eef233e94a&vjs=3
"Application Engineer South Korea (Physics, EE)",Zurich Instruments,대한민국,https://kr.indeed.com/rc/clk?jk=444320d2e49672dc&fccid=392ed95de5acb930&vjs=3
홈플랫폼추진단 경력사원,LG유플러스,서울,https://kr.indeed.com/rc/clk?jk=b6a63d1fa841d4ce&fccid=6c9206aa5a609175&vjs=3
지표구축,아프리카TV,경기도 성남,https://kr.indeed.com/rc/clk?jk=e0e37aaebc73dde3&fccid=bc48816053af06b3&vjs=3
Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/rc/clk?jk=752a4b5d63eac97c&fccid=f9a401b2af6cde91&vjs=3
[누구랑 라라랑] (주)라라와 함께할 웹프로그래머,라라,부산,https://kr.indeed.com/rc/clk?jk=d29856ba80e4bc98&fccid=ecaf0cfc74f420fa&vjs=3
Machine Learning Software Engineer - Embedded-AI-Framework,Qualcomm Korea YH,서울,https://kr.indeed.com/rc/clk?jk=b1376913a965e740&fccid=fc9fc27463afa4d7&vjs=3
데이터 엔지니어(신입/경력),쏘카,대한민국,https://kr.indeed.com/rc/clk?jk=05aa5498d84c58e1&fccid=ebcd554962f400ec&vjs=3
NAVER IDC 서버 운영/관리(가산),NIT Service,서울 가산동,https://kr.indeed.com/rc/clk?jk=70fccff4d30cb6bf&fccid=f85375bceacb7147&vjs=3
[웹젠] 보안솔루션 운영(경력),웹젠,성남 분당구,https://kr.indeed.com/rc/clk?jk=c74b8591c7e59774&fccid=6e2a9dddd86c4648&vjs=3
Lead Product Engineer - Liberate,Cadence Design Systems,경기도,https://kr.indeed.com/rc/clk?jk=ffac42e32db26233&fccid=391006290e845887&vjs=3
NAVER IDC 서버 운영/관리(평촌/부산),NIT Service,안양 동안구,https://kr.indeed.com/rc/clk?jk=18b288e9021d899f&fccid=f85375bceacb7147&vjs=3
지식베이스 ML Engineer 경력사원,네이버,서울,https://kr.indeed.com/rc/clk?jk=86057c9e18dd442b&fccid=412ff571bced2587&vjs=3
"데이터 가치를 함께 발굴하실 머신러닝, 통계 모델링 전문가 모집",카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=d1e75364ef505c68&fccid=32b9af632cf3b9f9&vjs=3
메시지발송 플랫폼 개발자,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=eaee1538d8cc832f&fccid=aba87288e4cc3687&vjs=3
